input	output
ask @CN@ if she likes to have some coffee.	hey @CN@ , @SCN@ wants to know if you would like to have some coffee.
tell @CN@ that jack wants to make a short film	hi @CN@ , @SCN@ says that jack wants to make a short film
can you tell @CN@ that the completion time is undefined	hey @CN@ , @SCN@ informs that the completion time is undefined
can you ask @CN@ , do you like carrots?	hey @CN@ , @SCN@ is wondering whether do you like carrots?
please ask @CN@ about the restaurant he went to last night	hey @CN@, @SCN@ wants to know about the restaurant you went to last night
can you ask @CN@ , are you coming tomorrow?	hi @CN@ , @SCN@ wants to know, whether you are coming tomorrow.
can you ask @CN@ , is it very cold inside?	hey @CN@ , @SCN@ wanted to know whether it is very cold inside.
tell @CN@ , the man walked into the bank and made a deposit.	hey @CN@ , @SCN@ says the man walked into the bank and made a deposit.
ask @CN@ if she bought the book i asked for.	hey @CN@ , @SCN@ is wondering if you bought the book she asked for.
can you tell @CN@ that the passport renewal can be done anywhere	hey @CN@ , @SCN@ says that the passport renewal can be done anywhere
can you ask @CN@ to take the dog to the clinic	hi @CN@ , @SCN@ would like you to take the dog to the clinic
tell @CN@ to take his specs	hey @CN@ , @SCN@ wants you to take your specs
ask @CN@ when he will be arriving india	hey @CN@ , @SCN@ is wondering when you will be arriving india
ask @CN@ if you were a cat	hey @CN@ @SCN@ would like to know if you were a cat
ask @CN@ , how to make money on youtube	hi @CN@ , @SCN@ would like to know how to make money on youtube
ask @CN@ , can you turn on the flashlight	hey @CN@ , @SCN@ is wondering if you can turn on the flashlight
can you tell @CN@ that the stock market is down	hi @CN@ , @SCN@ notifies that the stock market is down
ask @CN@ , do they want a drink?	hi @CN@ , @SCN@ wonders whether they would like to have a drink
ask @CN@ , are you waiting for me?	hey @CN@ , @SCN@ is wondering if you are waiting for her
can you tell @CN@ that the cat is on the wall	hi @CN@ , @SCN@ is informing that the cat is on the wall
can you remind @CN@ the rally will be held at government center.	hey @CN@, @SCN@ says everyone is meeting at government center for the rally.
ask @CN@,who was on that call?	hi @CN@, @SCN@ asks to know who was on the call
tell @CN@ to leave now	hi @CN@ , @SCN@ is asking you to leave now
tell @CN@ that it's my sister's birthday today	hi @CN@, @SCN@ says that it's their sister's birthday today
ask @CN@ chris or helena	hi @CN@, @SCN@ asks chris or helena
ask @CN@ ,why are you so late	hi @CN@ , @SCN@ would like to know why are you so late
find out if @CN@ takes credit cards	hi @CN@, do you accept credit cards?
ask @CN@ to tell few interesting places to visit?	hey @CN@ , @SCN@ would like to know to tell few interesting places to visit?
can you tell @CN@ that the dog is sleeping	hi @CN@ , @SCN@ needs you to know that the dog is sleeping
ask @CN@ to bring more chips	hey @CN@, @SCN@ is asking you to bring more chips
ask @CN@ to setup the file	hi @CN@ , @SCN@ would like you to setup the file.
can you ask @CN@ to apply for smart card	hey @CN@ , @SCN@ wants you to apply for smart card
please ask @CN@ to buy snacks	hi @CN@ , @SCN@ is asking you to buy snacks
ask @CN@, what outdated slang do you use on a regular basis?	hi @CN@, @SCN@ is asking what outdated slang do you use on a regular basis
ask @CN@ to accomplish the target	hi @CN@ , @SCN@ wanted you to accomplish the target.
ask @CN@ , can you pick the children from granny's house	hey @CN@ , @SCN@ is wondering if you can pick the children from granny's house
ask @CN@ , are you happy here?	hey @CN@ , @SCN@ is wondering if you are happy
can you ask @CN@ to entertain the kids	hi @CN@ , @SCN@ asked you to entertain the kids.
can you tell @CN@ that hr fired a lot of people	hi @CN@ , @SCN@ is informing that hr fired a lot of people
can you ask @CN@ , what is your son name	hey @CN@ , @SCN@ wonders what is your son name
ask @CN@ about the actor	hi @CN@ , @SCN@ asked about the actor.
ask @CN@ about the mall	hey @CN@ , @SCN@ is asking about the mall
ask @CN@ , are you a human	hey @CN@ , @SCN@ wonders if you are a human
ask @CN@ , can you clean the washroom	hey @CN@ , @SCN@ wants to know if you can clean the washroom
ask @CN@ when will you leave from office today	hi @CN@, @SCN@ is asking when will you leave from office today
can you tell @CN@ that the maintanence is expensive	hey @CN@ , @SCN@ informs that the maintanence is expensive
can you ask @CN@ , do you wish to see match in live.	hi @CN@ , @SCN@ questioned, if you wish to see the match in live.
can you ask @CN@ to wash the cup	hey @CN@ , @SCN@ requests you to wash the cup
can you tell @CN@ that there is more space in the lawn	hi @CN@ , @SCN@ is saying that there is more space in the lawn
ask @CN@ to drop mom at home	hi @CN@ , @SCN@ wanted you to drop mom at home.
ask @CN@ to au @SCN@ ate the files	hi @CN@ , @SCN@ is asking you to au @SCN@ ate the files
ask @CN@ , where is tondo street?	hi @CN@ , @SCN@ would like to know where is tondo street
can you tell @CN@ my daughter has graduated?	hey @CN@, @SCN@ would like to say their daughter has graduated.
did @CN@ make any appointments for today	@SCN@ wants to know did you have appointments set today?
ask @CN@ to come to a race	hi @CN@ , @SCN@ requests you to go to a race with him
tell @CN@ to complete the project before the deadline	hi @CN@ , @SCN@ asks you to complete the project before the deadline
ask @CN@ , do you still want to go to the college.	hi @CN@ , @SCN@ questioned, if you still wanted to go to the college.
could you ask @CN@ , do you love your parents?	hi @CN@ , @SCN@ asked whether you love your parents.
ask @CN@ how to learn photoshop	hi @CN@ , @SCN@ wanted to know how to learn photoshop.
can you ask @CN@ how to get the old cassette tapes	hi @CN@ , @SCN@ is eager to know how to get the old cassette tapes
can you tell @CN@ , how do you go?	hi @CN@ , @SCN@ questioned how do you go?
ask @CN@, is that your cat	hi @CN@, @SCN@ interested to know whether it is your cat.
please ask @CN@ about that car acccident case	hey @CN@ , @SCN@ is curious to know about that car acccident case
ask @CN@ which did you choose?	hi @CN@, @SCN@ is asking which did you choose ?
can you tell @CN@ that the work is remarkable	hi @CN@ , @SCN@ notifies that the work is remarkable
can you ask @CN@ to read the catalog	hi @CN@ , @SCN@ wanted you to read the catalog.
ask @CN@ how to train the children	hi @CN@ , @SCN@ wishes you to train the children.
could you please ask @CN@ to shred the files	hi @CN@ , @SCN@ lieks you to shred the files.
please ask @CN@ about the delivery date	hey @CN@ , @SCN@ is asking about the delivery date
tell @CN@ to play football	hi @CN@ , @SCN@ told you to play football.
ask @CN@ , can you report me by eod ?	hey @CN@ , @SCN@ wants to know if you can report me by eod
ask @CN@ ,can you speak russian	hey @CN@ , @SCN@ would like to know if you can speak russian
inform @CN@ that his package has arrived	hi @CN@ , @SCN@ says your package has arrived
tell @CN@ , our car is old	hey @CN@ , @SCN@ said that their car is old
tell @CN@ i need to know when your doctor's appointment is	hi @CN@ , @SCN@ says @SCN@ needs to know when your doctor 's appointment is
ask @CN@ to go to the doctor	hi @CN@ , @SCN@ asks you to go to the doctor
ask @CN@,what are the tips?	hi @CN@, @SCN@ would like to know what are the tips
ask @CN@ how to arrange the room	hi @CN@ , @SCN@ demanded to know how to arrange the room.
ask @CN@ , who is with you	hey @CN@ , @SCN@ is asking who is with you
please ask @CN@ is she quilting tonight	hi @CN@ , @SCN@ is asking if you are quilting tonight
ask @CN@ , how to make a paper airplane	hey @CN@ , @SCN@ is wondering how to make a paper airplane
ask @CN@ to brush his teeth	hey @CN@ , @SCN@ wants you to brush your teeth
tell @CN@ that i took her handbag to work.	hi @CN@, @SCN@ says that they took your handbag to work.
tell @CN@ , mary likes tea.	hey @CN@ , @SCN@ would like to tell you that mary likes tea.
can you tell @CN@ that there are more customers on the shop	hi @CN@ , @SCN@ would like to convey that there are more customers on the shop
tell @CN@ to see what time the movie plays tonight	hi @CN@, @SCN@ sent you a text asking what time the movie is playing tonight.
ask @CN@ , can you book movie tickets	hey @CN@ , @SCN@ wants to know if you can book movie tickets
ask @CN@ , do you need a drink?	hey @CN@ , @SCN@ wonders if you need a drink
can you tell @CN@ that the texture is fine	hi @CN@ , @SCN@ conveys that the texture is fine
please tell @CN@ to stay late tonight.	hi @CN@, @SCN@ would like you to stay late tonight.
ask @CN@ have you donated blood	hey @CN@ , @SCN@ wishes to know whether you have donated blood
tell @CN@ that its rainy	hi @CN@ , @SCN@ says that its rainy
ask @CN@, do you live in c@CN@i	hi @CN@, @SCN@ interested to know if you live in c@CN@i
tell @CN@ to pay the electricity bill	hi @CN@ , @SCN@ is requesting you to pay the electricity bill
can you tell @CN@ the bus ticket is confirmed	hi @CN@, @SCN@ says the bus ticket is confirmed
ask @CN@ ,do you have bluetooth headphone?	hi @CN@ , @SCN@ is asking if you have a bluetooth heaphone
ask @CN@ , are you going to work today?	hey @CN@ , @SCN@ is asking whether you are going to work today?
ask @CN@ to watch the cricket match	hi @CN@ , @SCN@ wants you to watch the cricket match
can you ask @CN@ to send me the file tomorrow morning?	hey @CN@, @SCN@ wants you to send the file tomorrow morning.
ask @CN@ , would you like to join us	hi @CN@ , @SCN@ asked if you would like to join us.
tell @CN@ to meet me for lunch.	hi @CN@, @SCN@ wants you to meet them for lunch.
ask @CN@ ,can you water the plants?	hi @CN@ , @SCN@ is wondering if you can water the plants
can you ask @CN@ how to cook pasta	hey @CN@ , @SCN@ wants to know how to cook pasta
remind @CN@ to clarify the issue with the helpdesk team @CN@orrow	hi @CN@, @SCN@ reminds you to clarify the issue with the helpdesk team @CN@orrow
can you tell @CN@ that harry potter series has huge fan following	hi @CN@ , @SCN@ conveys that harry potter series has huge fan following
hey, can you find out if @CN@ will accept my coupon?	hey @CN@, @SCN@ wants to know if you will accept her coupon?
can you ask @CN@ to work on other possibilities	hey @CN@ , @SCN@ is asking you to work on other possibilities
ask @CN@ about his recordings	hi @CN@ , @SCN@ wants to know about your recordings
ask @CN@ can money buy happiness?	@SCN@ would like to know can money buy happiness?
remind @CN@ to schedule the call with the team lead @CN@orrow	hi @CN@, @SCN@ reminds you to schedule the call with the team lead @CN@orrow
can you ask @CN@ to make plans for the holiday	hi @CN@ , @SCN@ would like you to make plans for the holiday
can you ask @CN@ if she's having a party tomorrow night	hi @CN@ , @SCN@ is asking if you are having a party tomorrow night
can you ask @CN@ to avoid suspending the kids	hi @CN@ , @SCN@ asks you to avoid suspending the kids
ask @CN@ , how is your new bike?	hey @CN@ , @SCN@ is asking how your new bike is?
remind @CN@ to transfer the downloaded movies to an external hard disk	hi @CN@, @SCN@ reminds you to transfer the downloaded movies to an external hard disk
tell @CN@ , it is quarter past eleven.	hey @CN@ , @SCN@ said that it is quarter past eleven.
can you ask @CN@ to clean the living room	hey @CN@ , @SCN@ would like you to clean the living room
can you ask john about the special meal for me?	hi @CN@, @SCN@ is asking you about the special meal for them.
could you ask @CN@ talk to the police	hi @CN@ , @SCN@ requested you to talk to the police.
ask @CN@ , when is he coming?	hey @CN@ , @SCN@ is asking when you are coming?
ask @CN@ did you quit the job	hey @CN@ , @SCN@ wishes to know whether you quit the job
can you tell @CN@ the phone is eight hundred dollars	hey @CN@, @SCN@ wants you to know that the phone is eight hundred dollars
can you tell @CN@ that the model works fine	hi @CN@ , @SCN@ informs that the model works fine
ask @CN@ , do peter travel by plane	hey @CN@ , @SCN@ is wondering if peter travel by plane
ask @CN@ , would you share the pictures that we took	hi @CN@ , @SCN@ seeks to know if you would share the pictures that we took
ask @CN@ , does peter write a lot	hi @CN@ , @SCN@ questioned if peter write a lot.
ask @CN@ , how to find shortcuts for online aptitude exam	hey @CN@ , @SCN@ is wondering how to find shortcuts for online aptitude exam
ask @CN@, what is the most ridiculous thing you have done?	hi @CN@, @SCN@ is asking what is the most ridiculous thing you have done
ask @CN@,what kind of computer do you have?	hey @CN@, @SCN@ asks what kind of computer do you have?
ask @CN@ what countries have you visited?	@SCN@ wants to know what countries have you visited?
ask @CN@ , did you go to the hotel	hi @CN@ , @SCN@ wanted to know if you went to the hotel.
ask @CN@ whom he call @CN@	hey @CN@ , @SCN@ wants to know whom you call @CN@
ask @CN@ , would you like to drink tea?	hi @CN@ , @SCN@ asks if you like drinking tea
tell @CN@ to ask him to pick up franklin at the school	hi @CN@, @SCN@ ask to you pick up franklin at the school
could you ask @CN@ , how was your exam?	hi wonder woman, @SCN@ likes to know how was your exam?
ask @CN@ , can you be with me for 2 hours?	hey @CN@ , @SCN@ would like to know if you can be with hime for 2 hours
please ask @CN@ about her experience with the team	hi @CN@ , @SCN@ needs to know about your experience with the team
please ask @CN@ why she hasn't made copies for the meeting.	hi nicole, marine likes to know why you haven't made copies for the meeting.
tell @CN@ i am going to play football this weekend	hi @CN@ , @SCN@ wants you to know that they are going to play football this weekend
can you ask @CN@ to transfer the call	hi @CN@ , @SCN@ wanted you to transfer the call.
please ask @CN@ how do you memorize long answers	hey @CN@ , @SCN@ wants to know how do you memorize long answers
can you ask @CN@ to keep calm	hi @CN@ , @SCN@ asked you to keep calm.
ask @CN@ do baby birds get fed by their mother?	hi @CN@ @SCN@ wants to know do baby birds get fed by their mother
can you ask @CN@ , how often are you sick?	hi @CN@ , @SCN@ seeks to know how often are you sick?
ask @CN@ if you were a cat	hi @CN@ @SCN@ wants to know if you were a cat
can you tell @CN@ that the weather is pleasant	hi @CN@ , @SCN@ conveys that the weather is pleasant
ask @CN@ if she's coming to babysitting tonight	hi @CN@, @SCN@ would like to know if you're comingo to babysitting tonight.
ask @CN@ , what do the children eat there?	hi @CN@ , @SCN@ would like to know what do the children eat there
can you ask @CN@ to practise the notes	hey @CN@ , @SCN@ would like you to practise the notes
schedule appointment for tommorow at 3pm tp visit the doctor yor	doctor visit schedule for tommorow at 3pm
tell @CN@ to bring the dessert	hi @CN@ , @SCN@ insisted you to bring the dessert.
please ask @CN@ , is the restaurant we ordered closing now	hi @CN@ , @SCN@ wishes to know if the restaurant we ordered is closing now.
ask @CN@ ,does your sister live in turkey	hi @CN@ , @SCN@ puzzled if your sister lives in turkey.
please ask @CN@ for biscuits	hey @CN@ , @SCN@ would like to ask for biscuits
can you ask @CN@ to sing a song	hi @CN@ , @SCN@ wanted you to sing a song.
please ask @CN@ about the management	hi @CN@ , @SCN@ wanted to know about the management.
can you ask @CN@ ,are you going by train to your native tomorrow	hi @CN@ , @SCN@ is eager to know if you are going by train to your native tomorrow
ask @CN@ , can you meet the kids	hey @CN@ , @SCN@ wants to know if you canmeet the kids
can you tell @CN@ that the painting looks good	hi @CN@ , @SCN@ informs that the painting looks good
ask @CN@ what are the herbivorous animals	hey @CN@ , @SCN@ wants to know what are the herbivorous animals
ask @CN@ ,do you know to play guitar?	hi @CN@ , @SCN@ is asking if you know to play guitar
ask @CN@ , how to prepare coffee	hey @CN@ , @SCN@ is wondering how to prepare coffee
tell @CN@ that let us go on for a adventurous drive	hi @CN@ , @SCN@ says that let us go on for a adventurous drive
ask @CN@ to be careful while driving the car	hi @CN@ , @SCN@ asks you to be careful while driving the car
ask @CN@ , can i grow potatoes in a pot?	hi @CN@ , @SCN@ is asking whether they can grow potatoes in a pot?
can you ask @CN@ , where are those fellows	hey @CN@ , @SCN@ is asking where are those fellows
ask @CN@ , can you switchon the computer	hey @CN@ , @SCN@ would like to know if you can switchon the computer
can you ask @CN@ to make notes	hi @CN@ , @SCN@ wanted you to make notes.
ask @CN@, how are elections financed?	hi @CN@, @SCN@ is asking how are elections financed
ask @CN@ about the cultures in chennai	hi @CN@ , @SCN@ enquires about the cultures in chennai
ask @CN@ to fetch details from the school for admission	hey @CN@ , @SCN@ asks you to fetch details from the school for admission
ask @CN@ , can we meet this evening?	hey @CN@ , @SCN@ is wondering if you can meet him this evening?
ask @CN@ did you need to go home	hi @CN@ @SCN@ is asking do you need to go home
can you tell @CN@ , to send his current location.	hi @CN@ , @SCN@ is asking you to send your current location?
can you remind @CN@ to contact the golf academy	hi @CN@, @SCN@ reminds you to contact the golf academy
can you ask @CN@ to add the new feature	hey @CN@ , @SCN@ wants you to add the new feature
tell @CN@ to get a new dress for me	hi @CN@ , @SCN@ would like you to get a new dress for me
ask @CN@ to order food online	hey @CN@ , @SCN@ is asking you to order food online
tell @CN@ i hope you'll be at the meeting this time	hi @CN@ , @SCN@ says @SCN@ hopes you will be at the meeting this time
can you ask @CN@ to start learning as per the requirement	hey @CN@ , @SCN@ would like you to start learning as per the requirement
remind @CN@ to document all the cus@CN@er conversations	hi @CN@, @SCN@ reminds you to document all the cus@CN@er conversations
ask @CN@ , could you please take me to the dentist	hey @CN@ , @SCN@ wants to know if you can take me to the dentist
can you ask @CN@ to assign work for a candidates	hey @CN@ , @SCN@ is asking you to assign work for a candidates
can you ask @CN@ , where should i park	hey @CN@ , @SCN@ is wondering where i should park
can you tell @CN@ that there the weather is pleasant outside	hi @CN@ , @SCN@ would like to convey that there the weather is pleasant outside
ask @CN@ where she put my stapler	hi @CN@, @SCN@ want's to know where you put her stapler
ask @CN@, why is making eye contact important?	hey @CN@, @SCN@ asks why is making eye contact important?
can you ask @CN@ about the housework	hey @CN@ , @SCN@ would like to know about the housework
ask @CN@ how to be stress free	hey @CN@ , @SCN@ is asking how to be stress free
can you tell @CN@ to balance her routine	hi @CN@ , @SCN@ asked you to balance your routine.
ask @CN@ , can you get me some track pants	hey @CN@ , @SCN@ wants to know if you can get me some track pants
ask @CN@ , if she applied for the college.	hey @CN@ , @SCN@ would like to know if you applied for the college.
ask @CN@ about his daily routine	hi @CN@ , @SCN@ asks about your daily routine
tell @CN@ to get married	hi @CN@ , @SCN@ told you to get married.
tell @CN@ sleeping in the winter is almost impossible	hi @CN@ , @SCN@ notifies that sleeping in the winter is almost impossible
ask @CN@ about her orchestra	hey @CN@ , @SCN@ wishes to know about your orchestra
can you tell @CN@ we are decorating at the moment.	hi @CN@ , @SCN@ says they are decorating at the moment.
ask @CN@, what do you usually do after work?	hi @CN@, @SCN@ wants to know what you do after work.
tell @CN@ , mary did not go to the party.	hey @CN@ , @SCN@ is saying mary did not go to the party.
tell @CN@ , ganguli is a fine batsman.	hi @CN@ , @SCN@ wants to tell you ganguli is a fine batsman.
ask @CN@ to instruct me the quantity of pesticides to be used in the crops	hey @CN@ , @SCN@ wants to know the quantity of pesticides to be used in the crops
can you ask @CN@ to organize random audits	hi @CN@ , @SCN@ is requesting you to organize random audits
ask @CN@ how to find a person is in depression?	hey @CN@ , @SCN@ wants to know how to find a person is in depression?
ask @CN@ what are all the departments available related to biotech in oxford university	hey @CN@ , @SCN@ is asking what are all the departments available related to biotech in oxford university
please invite @CN@ to my house	hi @CN@ , @SCN@ would like to invite you to their house
ask @CN@ ,do you know to play guitar?	hi @CN@ , @SCN@ is wondering if you know to play guitar
ask @CN@ , can you decorate the home	hey @CN@ , @SCN@ would like to know if you can decorate the home
please ask @CN@ for the room keys	hi @CN@ , @SCN@ wants the room keys
ask @CN@ ,did you have food?	hi @CN@ , @SCN@ is questioning whether if you had food
can you ask @CN@ about dinner plan today	hi @CN@, @SCN@ would like to know about dinner plan today, please
tell @CN@ , did you prepare the pizza?	hi @CN@ , @SCN@ is questioning if you have prepared the pizza
ask @CN@ are you coming for dinner?	hey @CN@ , @SCN@ wants to know whether you are coming for dinner?
ask @CN@ for twenty dollars	hey @CN@, @SCN@ is asking for twenty dollars
ask @CN@ whom will he prefer for the position of analyst?	hey @CN@ , @SCN@ is asking whom will you prefer for the position of analyst
hey it is time to pick up @CN@jamin	@CN@, @SCN@ says its time to pick up @CN@jamin
ask @CN@ the reason for his failure	hey @CN@ , @SCN@ is asking the reason for your failure
ask @CN@ , do you know tina?	hey @CN@ , @SCN@ is asking whether you know tina?
can you ask @CN@ to make a plan for tomorrow	hi @CN@ , @SCN@ is asking to make a plan for tomorrow
can you ask @CN@ for when he is coming for movie tonight?	hi @CN@, @SCN@ wants to know are you coming for movies tonight?
can you ask @CN@ , where are my keys	hey @CN@ , @SCN@ would like to know where are his keys
ask @CN@, how many people are in your family?	hey @CN@, @SCN@ asks how many people are in your family?
ask @CN@ to play with me	hi @CN@ , @SCN@ wonders if you can play with him
ask @CN@ for a picture	hi @CN@ , @SCN@ asks to take a picture
ask @CN@ what time they will be done.	hey @CN@, @SCN@ would like to know when you will be done.
can you ask @CN@ about the bus departure timing	hi @CN@ , @SCN@ wonders if you could tell him the bus departure timing
ask @CN@ , are you happy ?	hey @CN@ , @SCN@ is asking if you are happy
can you ask @CN@ to take a picture	hi @CN@ , @SCN@ is requesting you to take a picture
ask @CN@ what cake he wants	hey @CN@ , @SCN@ wants to know what cake you want
tell @CN@ to read all the emails.	hey @CN@, @SCN@ wants you to read all the emails.
tell @CN@ to return the plates after using	hi @CN@ , @SCN@ tells you to return the plates after using
ask @CN@ , what are the steps to be followed in swimming class	hey @CN@ , @SCN@ is wondering what are the steps to be followed in swimming class
tell @CN@ to stay calm in his house	hey @CN@ , @SCN@ wants you to stay calm in your house
can you ask @CN@ about the new sofa	hey @CN@ , @SCN@ would like to know about the new sofa
ask @CN@ 'has alex return from canada?’	hi @CN@ , @SCN@ would like to know if alex returned from canada?
please enquire with @CN@ would it be possible for him to let them know who is the sender of the consignment.	hi @CN@, @SCN@ wanted to check with you would it be possible for him to let them know who is the sender of the consignment.
please ask @CN@ if he went to washroom before going to bed	hey @CN@ , @SCN@ would like to know if you went to washroom before going to bed
tell @CN@ i am staying home this weekend	hi @CN@ , @SCN@ tells you that they are staying home this weekend
tell @CN@, paytm details are shared in the group	hi @CN@, @SCN@ wants you know that paytm details are shared in the group
ask @CN@ ,do you like the latest songs on youtube?	hi @CN@ , @SCN@ would like to know if you would like the latest songs on youtube
can you ask @CN@ ,what is the name of your pet	hi @CN@ , @SCN@ is eager to know the name of your pet
"ask @CN@ have you ever called a female teacher ""mum"" by mistake?"	"@SCN@ would like to know have you ever called a female teacher ""mum"" by mistake?"
ask @CN@ to wear a tie	hey @CN@ , @SCN@ wants you to wear a tie
ask @CN@ whether you are going to zumba class or gym	hi @CN@, @SCN@ is asking whether you are going to zumba class or gym
ask @CN@ if you were a bee	hi @CN@ @SCN@ wants to know if you were a bee
tell @CN@ there is no barber shop near my home	hey @CN@ , @SCN@ informs that there is no barber shop near their home
ask @CN@ , could you please verify the file	hi lisa, @SCN@ asks you to verify the file
can you ask @CN@, what time lunch is at ?	hi @CN@, @SCN@ would like to know what time lunch is at ?
ask @CN@ what things make you laugh	hey @CN@ @SCN@ is wondering what things make you laugh
ask @CN@ can the dog swim	hi @CN@ @SCN@ wants to know can the dog swim
ask @CN@, which did he take?	hi @CN@, @SCN@ is asking which did you take?
can you ask @CN@ to prepare pancakes	hi @CN@ , @SCN@ is requesting you to prepare pancakes
tell @CN@ ,robert was a good king.	hey @CN@ , @SCN@ says robert was a good king.
ask @CN@ can you wear a tie	hey @CN@ @SCN@ is wondering can you wear a tie
ask @CN@ why he is coming	hey @CN@ , @SCN@ is asking why you are coming
ask @CN@ ,when do you go to school?	hi @CN@ , @SCN@ likes to know when do you go to school?
doesn't @CN@ have a job interview tomorrow?	hello @SCN@, @CN@ is asking if he has a job interview tomorrow?
ask @CN@ , did you listen to music yesterday	hey @CN@ , @SCN@ is wondering if you listened to music yesterday
ask @CN@ ,do you have a job?	hi @CN@ , @SCN@ wants to know whether you have a job?
ask @CN@ , did you take umbrella with you?	hi @CN@ , @SCN@ wishes to know whether you took umbrella with you.
ask @CN@ , do you like ice-cream	hi @CN@ , @SCN@ is curious if you like ice cream.
ask @CN@ to participate in the painting competition	hey @CN@ , @SCN@ is requesting you to participate in the painting competition
ask @CN@ , can you skype me	hey @CN@ , @SCN@ wants to know if you can skype them
ask @CN@ , can you dance with babies	hey @CN@ , @SCN@ is requesting you to dance with babies
ask @CN@ do plants wear glasses?	hey @CN@ @SCN@ would like to know do plants wear glasses
tell @CN@ to join an aspiring team	hi @CN@ , @SCN@ requests you to join an aspiring team
ask @CN@ do you have a favourite band	hey @CN@ , @SCN@ is wondering whether you have a favourite band
tell @CN@ that i am going to get a tattoo @SCN@orrow	hi @CN@, adam says that they are going to get a tattoo @SCN@orrow
ask @CN@ when is she going to join for the car driving training	hi @CN@, @SCN@ is asking when you are going to join for the car driving training
please ask @CN@ for her green platform shoes	hi @CN@, @SCN@ is requesting for your green platform shoes
ask @CN@ when did you last see a doctor	hi @CN@ @SCN@ is asking when did you last see a doctor
ask @CN@, what are some long term problems?	hey @CN@, @SCN@ asks what are some long term problems?
tell @CN@ , the salt and pepper shaker is missing	hey @CN@ , @SCN@ says the salt and pepper shaker is missing
ask @CN@ , do your cousin speak fluently?	hi @CN@ , @SCN@ wants to know whether your cousin speak fluently.
tell @CN@ ,brush your teeth.	hey @CN@ , @SCN@ says brush your teeth.
please ask @CN@ about his strengths	hi @CN@ , @SCN@ requests to know about your strengths
remind @CN@ to search jobs in european countries	@SCN@ reminds to search jobs in european countries
can you tell @CN@ , do you know this song ?	hey @CN@ , @SCN@ would like to know if you know this song
ask @CN@ ,is there a book on the table	hey @CN@ , @SCN@ wants to know if there is a book on the table
tell @CN@ to go with his co-workers	hey @CN@ , @SCN@ wants you to go with your co-workers
can you ask @CN@ to carry the laptop while attending the seminar	hi @CN@ , @SCN@ would like you to carry the laptop while attending the seminar
can you ask @CN@ to catch the train early	hi @CN@ , @SCN@ is requesting you to catch the train early
tell @CN@ to chase the boy	hi @CN@ , @SCN@ apprised you to chase the boy.
tell @CN@ i changed my phone number and i will call from my new one!	hello @CN@, @SCN@ says she changed her number and she's going to call from new one!
ask @CN@ which flight he's taking to mozambique?	hi @CN@, @SCN@ wants to know which flight you're taking to mozambique?
ask @CN@ ,where are your boots?	hey @CN@ , @SCN@ needs to know where are your boots?
can you ask @CN@ how to overcome procrastination	hi @CN@ , @SCN@ is intreseted in knowing how to overcome procrastination
can you ask @CN@ how to reach the destination	hi @CN@ , @SCN@ is intreseted in knowing how to reach the destination
can you ask @CN@ if he's coming to camp this month	hi @CN@ , @SCN@ is asking if you are coming to camp this month
tell @CN@ that i will bring some coffee seeds for him	hi @CN@ , @SCN@ says that they will bring some coffee seeds for you
ask @CN@ what food he doesn't eat	hello @CN@, @SCN@ would like to know what food you do not eat.
can you ask @CN@ , when will you complete the work	hey @CN@ , @SCN@ is asking when will you complete the work
ask @CN@ , do you want me to play guitar?	hey @CN@ , @SCN@ wants to know if you want him to play guitar
call @CN@ for the charity event	hi @CN@ , @SCN@ would like you to attend the charity event
please ask @CN@ to order cookies	hey @CN@ , @SCN@ is telling you to order cookies
ask @CN@ ,do you own a car?	hi @CN@ , @SCN@ wish to know whether you own a car
can you tell @CN@ new batching is joining today	hey @CN@ , @SCN@ says that new batching is joining today
tell @CN@ i'm picking her up from home.	hi @CN@, @SCN@ says they're picking you up from home.
ask @CN@ , can we dance together?	hi @CN@ , @SCN@ wants to know if we can dance together
please invite @CN@ to the house warming	hi @CN@ , @SCN@ invites you to the house warming
ask @CN@ ,which is the best exercise-swimming or tennis?	hi @CN@ , @SCN@ wishes to know which is the best exercise-swimming or tennis?
ask @CN@ what you will do when you are in leave	hi @CN@, @SCN@ asks what you will do when you are in leave
tell @CN@ , website allows you to choose the toppings	hi @CN@ , @SCN@ wants you to know that website allows you to choose the toppings
ask @CN@ to go carefully	hi @CN@ , @SCN@ would like you to go carefully.
ask @CN@ should we email her	hey @CN@ @SCN@ is wondering should we email her
ask @CN@ , to please remain seated until the seatbelt sign is off.	hi @CN@ , @SCN@ is asking you to remain seated until the seatbelt sign is off.
ask @CN@ , how to clear cookies	hi @CN@ , @SCN@ is asking how to clear cookies
ask @CN@ , how was your meeting?	hey @CN@ , @SCN@ is questioning how was your meeting?
can you ask @CN@, how do your children get to and from school?	hi @CN@, @SCN@ asks how do your children get to and from school?
ask @CN@ , whom did they invite?	hey @CN@ , @SCN@ is interested to know whom did they invite?
ask @CN@ about his manager	hi @CN@ , @SCN@ asks about your manager
ask @CN@ did she book the badminton court today at 6.00 pm	hi @CN@, @SCN@ is asking did you book the badminton court today at 6.00 pm
ask @CN@ do you get wet when you go swimming?	hey @CN@ @SCN@ would like to know do you get wet when you go swimming
can you ask @CN@ to arrange a beach house	hey @CN@ , @SCN@ would like you to arrange a beach house
can you tell @CN@ that the fan is not working	hi @CN@ , @SCN@ informs that the fan is not working
